item_name,qty,gross_cents,net_cents,sales_pct,plu
Cajun Seasoning,1,99,99,0.0,
Pizza Sauce,4,0,0,0.0,
BBQ Sauce,1,149,149,0.0,
Ranch,16,790,790,0.0003,
No Sauce,1,0,0,0.0,
Bleu Cheese,2,298,298,0.0001,
Large BBQ Fries,1,699,699,0.0002,
Lemon Pepper Chick Wedges,1,999,999,0.0003,
Small Fries,3,897,897,0.0003,
Small BBQ Fries,1,399,399,0.0001,
Potato Wedges,2,1198,1198,0.0004,
Large Fries,15,9525,9525,0.0031,
Onion Rings,9,6291,6291,0.0021,
Mozzarella Cheese Sticks,16,11184,11184,0.0037,
Buffalo Chicken Fries,12,11988,11988,0.0039,
Loaded Bacon Wedges,1,999,999,0.0003,
Water,5,750,750,0.0002,
Orange Crush,10,3704,3704,0.0012,
Pink Lemonade,11,4169,4169,0.0014,
Cherry Pepsi,26,9168,9168,0.003,
Diet Pepsi,28,9612,9612,0.0032,
Starry,19,5715,5715,0.0019,
Mountain Dew,20,6180,6180,0.002,
Pepsi,107,35603,35478,0.0117,
Grape Crush,2,872,872,0.0003,
Large Paparoni Bread,45,50115,50115,0.0165,
Large Cheesy Bread,106,107394,107394,0.0353,
Small Paparoni Bread,15,11985,11966,0.0039,
Cinna Bread,9,7431,7431,0.0024,
Small Cheesy Bread,58,42012,42012,0.0138,
Papas Bread Stix,35,27965,27965,0.0092,
Garlic Butter,4,796,796,0.0003,
Italian Sausage,1,199,199,0.0001,
Mushroom,1,199,199,0.0001,
Garlic Cream Cheese,5,995,995,0.0003,
Icing,2,458,458,0.0002,
Jalapenos,3,597,597,0.0002,
Garlic Butter Parmesan,1,100,100,0.0,
Pizza Sauce,148,2311,2311,0.0008,
Ranch,115,3697,3697,0.0012,
No Sauce,23,0,0,0.0,
Steak,2,598,598,0.0002,
Bacon,3,597,597,0.0002,
Pepperoni,5,846,846,0.0003,
Fries,1,199,199,0.0001,
No Fries,4,0,0,0.0,
Cheeseburger,5,5495,5495,0.0018,
Fries,30,5970,2985,0.001,
Cajun Fries,1,399,399,0.0001,
No Fries,27,0,0,0.0,
Salami,1,0,0,0.0,
Mild Peppers,5,199,99,0.0,
Crispy Chicken,3,897,498,0.0002,
Italian Sausage,4,0,0,0.0,
Mushroom,8,0,0,0.0,
Jalapeno,4,0,0,0.0,
Mozzarella Cheese,3,199,199,0.0001,
Mayo,5,0,0,0.0,
Black Olives,1,0,0,0.0,
Pineapple,4,199,199,0.0001,
Swiss Cheese,1,0,0,0.0,
Hamburger,3,0,0,0.0,
Red Onion,3,199,199,0.0001,
Steak,3,897,698,0.0002,
Lettuce,1,199,199,0.0001,
Bacon,7,0,0,0.0,
Pepperoni,12,0,0,0.0,
Green Peppers,5,0,0,0.0,
Turkey,3,0,0,0.0,
Italian,8,0,0,0.0,
Turkey Club,1,0,0,0.0,
Pizza,1,0,0,0.0,
Steak and Cheese,2,0,0,0.0,
Grilled Chicken,1,0,0,0.0,
Steak and Cheese Calzone,17,20743,20143,0.0066,
Turkey Club Calzone,1,1199,1099,0.0004,
Italian Calzone,13,14287,14287,0.0047,
Pizza Calzone,22,24508,24508,0.0081,
Grilled Chicken Calzone,3,3597,3597,0.0012,
Turkey Calzone,2,2198,2198,0.0007,
Full Tray Breadsticks,3,5997,5997,0.002,
Half Tray French Fries,1,1599,1599,0.0005,
Full Tray Salads,4,19996,19996,0.0066,
Large Catering Pizza,6,7194,7194,0.0024,
Round,6,0,0,0.0,
Greek Salad,1,0,0,0.0,
Antipasto Salad,2,0,0,0.0,
Tossed Salad,1,0,0,0.0,
Greek Dressing,1,0,0,0.0,
Italian Sausage,1,0,0,0.0,
Italian Dressing,2,0,0,0.0,
Ranch,2,149,149,0.0,
Pepperoni,3,0,0,0.0,
CC SURCHARGE,561,58708,58708,0.0193,
Superman,1,0,0,0.0,
Strawberry Crunch,19,0,0,0.0,
Cinna Bread,2,1598,1598,0.0005,
Strawberry Shortcake,11,6769,6769,0.0022,
Luckis Cheesecake,20,11980,11980,0.0039,
Papas Brownie,7,4893,4893,0.0016,
Papas Big Cookie,5,3495,3495,0.0011,
Chocolate Cake,20,11980,11980,0.0039,
Spicy Chicken Sandwich,1,0,0,0.0,
Corned Beef Sand,10,0,0,0.0,
Tossed Salad Combo,1,999,999,0.0003,
Pizza Calzone Combo,16,15984,15984,0.0053,
Sm Round 2 Topping Pizza,17,16983,16983,0.0056,
Spicy Chicken and Fries,1,999,999,0.0003,
Corned Beef and Fries,10,9990,9990,0.0033,
Diet Pepsi,3,0,0,0.0,
Mountain Dew,2,0,0,0.0,
Ginger Ale,2,0,0,0.0,
Water,3,0,0,0.0,
Tossed Salad,1,0,0,0.0,
Starry,4,0,0,0.0,
Pepsi,31,0,0,0.0,
Mild Peppers,3,0,0,0.0,
Italian Sausage,4,0,0,0.0,
Mushroom,5,0,0,0.0,
Black Olives,2,199,199,0.0001,
Pineapple,1,0,0,0.0,
BBQ Sauce,3,0,0,0.0,
Red Onion,4,0,0,0.0,
Steak,1,299,299,0.0001,
Bacon,4,199,199,0.0001,
Pepperoni,12,0,0,0.0,
Green Peppers,1,0,0,0.0,
Ham,3,0,0,0.0,
Round,9,0,0,0.0,
Square,8,0,0,0.0,
CC SURCHARGE,191,22456,22456,0.0074,
Open Item,15,23298,23298,0.0077,
Papas Lasagna,9,13491,13491,0.0044,
Bread,9,0,0,0.0,
Tossed Salad,9,0,0,0.0,
BLT Pizza,3,4997,4997,0.0016,
The Works Pizza,41,86119,86119,0.0283,
A1 Philly Steak Pizza,3,6197,6197,0.002,
Chicken Bacon Ranch Pizza,16,31884,31884,0.0105,
BBQ Chicken Pizza,48,88252,88252,0.029,
Hawaiian Pizza,24,43596,43596,0.0143,
Vegetarian Pizza,32,57428,57428,0.0189,
Meat Lovers Pizza,51,96009,96009,0.0316,
Chick Mediterranean Pizza,31,63169,63169,0.0208,
Build Your Own Pizza,699,795651,795256,0.2614,
Supreme Pizza,56,107214,107214,0.0352,
Buffalo Chicken Pizza,18,31002,31002,0.0102,
BBQ Barbarian Pizza,14,30086,30086,0.0099,
Feta Cheese,3,997,997,0.0003,
Cheese Only,52,0,0,0.0,
Mild Peppers,52,13389,8562,0.0028,
Garlic Crust,36,3714,3714,0.0012,
Crispy Chicken,7,2813,2514,0.0008,
Hot Honey,3,897,498,0.0002,
Parmesan Only,6,594,495,0.0002,
Italian Sausage,110,30155,21458,0.0071,
Oregano,6,1654,1155,0.0004,
Mushroom,100,27632,19818,0.0065,
Jalapeno,28,6924,4891,0.0016,
Tomato,10,2590,1693,0.0006,
Anchovies,2,698,698,0.0002,
Mozzarella Cheese,26,6676,5779,0.0019,
Black Olives,54,14698,10715,0.0035,
Pineapple,64,15312,10234,0.0034,
