plu,item_name,qty,gross_cents,net_cents,sales_pct,is_numeric_qty
Store: Farmington - 12 Mile,,6816,,,100%,True
Report Group: AppetizerMods,,25,,,0.04%,True
nan,Cajun Seasoning,1,99,99,0.00%,True
nan,Pizza Sauce,4,0,0,0.00%,True
nan,BBQ Sauce,1,149,149,0.00%,True
nan,Ranch,16,790,790,0.03%,True
nan,No Sauce,1,0,0,0.00%,True
nan,Bleu Cheese,2,298,298,0.01%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Appetizers,,61,,,1.45%,True
nan,Large BBQ Fries,1,699,699,0.02%,True
nan,Lemon Pepper Chick Wedges,1,999,999,0.03%,True
nan,Small Fries,3,897,897,0.03%,True
nan,Small BBQ Fries,1,399,399,0.01%,True
nan,Potato Wedges,2,1198,1198,0.04%,True
nan,Large Fries,15,9525,9525,0.31%,True
nan,Onion Rings,9,6291,6291,0.21%,True
nan,Mozzarella Cheese Sticks,16,11184,11184,0.37%,True
nan,Buffalo Chicken Fries,12,11988,11988,0.39%,True
nan,Loaded Bacon Wedges,1,999,999,0.03%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Beverage,,228,,,2.49%,True
nan,Water,5,750,750,0.02%,True
nan,Orange Crush,10,3704,3704,0.12%,True
nan,Pink Lemonade,11,4169,4169,0.14%,True
nan,Cherry Pepsi,26,9168,9168,0.30%,True
nan,Diet Pepsi,28,9612,9612,0.32%,True
nan,Starry,19,5715,5715,0.19%,True
nan,Mountain Dew,20,6180,6180,0.20%,True
nan,Pepsi,107,35603,35478,1.17%,True
nan,Grape Crush,2,872,872,0.03%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Bread,,268,,,8.12%,True
nan,Large Paparoni Bread,45,50115,50115,1.65%,True
nan,Large Cheesy Bread,106,107394,107394,3.53%,True
nan,Small Paparoni Bread,15,11985,11966,0.39%,True
nan,Cinna Bread,9,7431,7431,0.24%,True
nan,Small Cheesy Bread,58,42012,42012,1.38%,True
nan,Papas Bread Stix,35,27965,27965,0.92%,True
nan,,,,,,False
nan,,,,,,False
Report Group: BreadMods,,313,,,0.37%,True
nan,Garlic Butter,4,796,796,0.03%,True
nan,Italian Sausage,1,199,199,0.01%,True
nan,Mushroom,1,199,199,0.01%,True
nan,Garlic Cream Cheese,5,995,995,0.03%,True
nan,Icing,2,458,458,0.02%,True
nan,Jalapenos,3,597,597,0.02%,True
nan,Garlic Butter Parmesan,1,100,100,0.00%,True
nan,Pizza Sauce,148,2311,2311,0.08%,True
nan,Ranch,115,3697,3697,0.12%,True
nan,No Sauce,23,0,0,0.00%,True
nan,Steak,2,598,598,0.02%,True
nan,Bacon,3,597,597,0.02%,True
nan,Pepperoni,5,846,846,0.03%,True
nan,,,,,,False
nan,,,,,,False
Report Group: BurgerMods,,5,,,0.01%,True
nan,Fries,1,199,199,0.01%,True
nan,No Fries,4,0,0,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Burgers,,5,,,0.18%,True
nan,Cheeseburger,5,5495,5495,0.18%,True
nan,,,,,,False
nan,,,,,,False
Report Group: CalzoneMods,,131,,,0.18%,True
nan,Fries,30,5970,2985,0.10%,True
nan,Cajun Fries,1,399,399,0.01%,True
nan,No Fries,27,0,0,0.00%,True
nan,Salami,1,0,0,0.00%,True
nan,Mild Peppers,5,199,99,0.00%,True
nan,Crispy Chicken,3,897,498,0.02%,True
nan,Italian Sausage,4,0,0,0.00%,True
nan,Mushroom,8,0,0,0.00%,True
nan,Jalapeno,4,0,0,0.00%,True
nan,Tomato,0,0,0,0.00%,True
nan,Mozzarella Cheese,3,199,199,0.01%,True
nan,Mayo,5,0,0,0.00%,True
nan,Black Olives,1,0,0,0.00%,True
nan,Italian Dressing,0,0,0,0.00%,True
nan,Pineapple,4,199,199,0.01%,True
nan,Swiss Cheese,1,0,0,0.00%,True
nan,Hamburger,3,0,0,0.00%,True
nan,Red Onion,3,199,199,0.01%,True
nan,Steak,3,897,698,0.02%,True
nan,Lettuce,1,199,199,0.01%,True
nan,Bacon,7,0,0,0.00%,True
nan,Pepperoni,12,0,0,0.00%,True
nan,Green Peppers,5,0,0,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Calzones,,74,,,2.16%,True
nan,Turkey,3,0,0,0.00%,True
nan,Italian,8,0,0,0.00%,True
nan,Turkey Club,1,0,0,0.00%,True
nan,Pizza,1,0,0,0.00%,True
